gene_id	name	chr	start	end	strand	is_cancer_gene_census
1	MIR6859-1	1	17369.0	17436.0	-1.0	
2	OR4F5	1	65419.0	71585.0	1.0	
3	MIR6723	1	632325.0	632413.0	-1.0	
4	LINC00115	1	826206.0	827522.0	-1.0	
5	FAM41C	1	868071.0	876903.0	-1.0	
6	SAMD11	1	923928.0	944581.0	1.0	
7	NOC2L	1	944204.0	959309.0	-1.0	
8	KLHL17	1	960587.0	965715.0	1.0	
9	PLEKHN1	1	966497.0	975865.0	1.0	
10	PERM1	1	975204.0	982093.0	-1.0	
11	HES4	1	998962.0	1000172.0	-1.0	
12	ISG15	1	1001138.0	1014541.0	1.0	
13	AGRN	1	1020123.0	1056118.0	1.0	
14	C1orf159	1	1081818.0	1116361.0	-1.0	
15	LINC01342	1	1137017.0	1144056.0	1.0	
16	MIR200A	1	1167863.0	1167952.0	1.0	
17	TTLL10	1	1173884.0	1197935.0	1.0	
18	TNFRSF18	1	1203508.0	1206691.0	-1.0	
19	TNFRSF4	1	1211326.0	1214138.0	-1.0	
20	SDF4	1	1216908.0	1232031.0	-1.0	
21	B3GALT6	1	1232265.0	1235041.0	1.0	
22	UBE2J2	1	1253909.0	1273885.0	-1.0	
23	SCNN1D	1	1280436.0	1292029.0	1.0	
24	ACAP3	1	1292376.0	1309609.0	-1.0	
25	PUSL1	1	1308567.0	1311677.0	1.0	
26	CPTP	1	1324756.0	1328897.0	1.0	
27	TAS1R3	1	1331314.0	1335306.0	1.0	
28	DVL1	1	1335276.0	1349350.0	-1.0	
29	MXRA8	1	1352689.0	1361777.0	-1.0	
30	AURKAIP1	1	1373730.0	1375495.0	-1.0	
31	CCNL2	1	1385711.0	1399328.0	-1.0	
32	MRPL20	1	1401908.0	1407313.0	-1.0	
33	ANKRD65	1	1418420.0	1421769.0	-1.0	
34	TMEM88B	1	1426128.0	1427787.0	1.0	
35	VWA1	1	1434861.0	1442882.0	1.0	
36	ATAD3C	1	1449689.0	1470158.0	1.0	
37	ATAD3B	1	1471769.0	1497848.0	1.0	
38	ATAD3A	1	1512151.0	1534687.0	1.0	
39	TMEM240	1	1535174.0	1540453.0	-1.0	
40	SSU72	1	1541673.0	1574869.0	-1.0	
41	MIB2	1	1615415.0	1630610.0	1.0	
42	MMP23B	1	1632095.0	1635263.0	1.0	
43	CDK11B	1	1635227.0	1659012.0	-1.0	
44	SLC35E2B	1	1659529.0	1692728.0	-1.0	
45	CDK11A	1	1702730.0	1724324.0	-1.0	
46	SLC35E2	1	1724838.0	1745992.0	-1.0	
47	NADK	1	1751232.0	1780457.0	-1.0	
48	GNB1	1	1785285.0	1891117.0	-1.0	
49	CALML6	1	1914827.0	1917296.0	1.0	
50	TMEM52	1	1917590.0	1919273.0	-1.0	
51	CFAP74	1	1921951.0	2003837.0	-1.0	
52	GABRD	1	2019298.0	2030758.0	1.0	
53	PRKCZ	1	2050470.0	2185395.0	1.0	
54	SKI	1	2228695.0	2310119.0	1.0	
55	MORN1	1	2321253.0	2391707.0	-1.0	
56	RER1	1	2391775.0	2405444.0	1.0	
57	PEX10	1	2403964.0	2413797.0	-1.0	
58	PLCH2	1	2425980.0	2505530.0	1.0	
59	PANK4	1	2508533.0	2526628.0	-1.0	
60	HES5	1	2528745.0	2530245.0	-1.0	
61	TNFRSF14	1	2555639.0	2565382.0	1.0	True
62	FAM213B	1	2586491.0	2591469.0	1.0	
63	MMEL1	1	2590639.0	2632990.0	-1.0	
64	ACTRT2	1	3021483.0	3022903.0	1.0	
65	LINC00982	1	3059615.0	3068437.0	-1.0	
66	PRDM16	1	3069168.0	3438621.0	1.0	True
67	ARHGEF16	1	3454426.0	3481113.0	1.0	
68	MEGF6	1	3489920.0	3611495.0	-1.0	
69	TPRG1L	1	3625002.0	3630127.0	1.0	
70	WRAP73	1	3630767.0	3652761.0	-1.0	
71	TP73	1	3652520.0	3736201.0	1.0	
72	TP73-AS1	1	3735601.0	3747336.0	-1.0	
73	CCDC27	1	3746460.0	3771645.0	1.0	
74	SMIM1	1	3772788.0	3775982.0	1.0	
75	LRRC47	1	3778558.0	3796504.0	-1.0	
76	CEP104	1	3812081.0	3857214.0	-1.0	
77	DFFB	1	3857267.0	3885429.0	1.0	
78	C1orf174	1	3889125.0	3900293.0	-1.0	
79	LINC01346	1	3940565.0	3955262.0	1.0	
80	AJAP1	1	4654732.0	4792534.0	1.0	
81	NPHP4	1	5862811.0	5992473.0	-1.0	
82	KCNAB2	1	5991466.0	6101193.0	1.0	
83	CHD5	1	6101793.0	6180123.0	-1.0	
84	RPL22	1	6181269.0	6209389.0	-1.0	True
85	RNF207	1	6205475.0	6221299.0	1.0	
86	ICMT	1	6221193.0	6235972.0	-1.0	
87	HES3	1	6244192.0	6245578.0	1.0	
88	GPR153	1	6247346.0	6260975.0	-1.0	
89	ACOT7	1	6264269.0	6394391.0	-1.0	
90	HES2	1	6412418.0	6424670.0	-1.0	
